accession,tax_id,organism_name,common_name,fasta_url_download
GCA_003709615.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_003709615.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_900008695.2,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_900008695.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_963426525.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_963426525.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_003709625.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_003709625.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_003709685.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_003709685.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_003709675.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_003709675.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_003864135.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_003864135.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_001483655.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_001483655.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_900009345.2,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_900009345.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_000185165.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_000185165.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_000005465.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_000005465.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_949316305.1,10090,Mus musculus,house mouse,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_949316305.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Musmusculus.zip"
GCA_000181195.1,10090,Mus musculus,house mouse,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_000181195.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Musmusculus.zip"
GCA_000185105.2,10090,Mus musculus,house mouse,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_000185105.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Musmusculus.zip"
GCA_000185125.1,10090,Mus musculus,house mouse,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_000185125.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Musmusculus.zip"
GCA_000350445.1,10090,Mus musculus,house mouse,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_000350445.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Musmusculus.zip"
GCA_015244455.1,10116,Rattus norvegicus,Norway rat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015244455.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Rattusnorvegicus.zip"
GCA_000325925.2,9823,Sus scrofa,pig,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_000325925.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Susscrofa.zip"
GCA_014858485.1,9544,Macaca mulatta,Rhesus monkey,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_014858485.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Macacamulatta.zip"
GCA_021328935.1,9940,Ovis aries,sheep,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_021328935.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ovisaries.zip"
GCA_021328945.1,9940,Ovis aries,sheep,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_021328945.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ovisaries.zip"
GCA_009823495.1,9925,Capra hircus,goat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_009823495.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Caprahircus.zip"
GCA_907165285.1,9925,Capra hircus,goat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_907165285.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Caprahircus.zip"
GCF_000349665.1,10036,Mesocricetus auratus,golden hamster,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000349665.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Mesocricetusauratus.zip"
GCF_000419365.1,10029,Cricetulus griseus,Chinese hamster,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000419365.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Cricetulusgriseus.zip"
GCF_000471725.1,89462,Bubalus bubalis,water buffalo,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000471725.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Bubalusbubalis.zip"
GCA_905249985.1,391902,Bubalus bubalis bubalis,,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_905249985.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Bubalusbubalisbubalis.zip"
GCA_947598445.1,9669,Mustela putorius furo,domestic ferret,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_947598445.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Mustelaputoriusfuro.zip"
GCF_000239315.1,9669,Mustela putorius furo,domestic ferret,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000239315.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Mustelaputoriusfuro.zip"
GCF_000215625.1,9669,Mustela putorius furo,domestic ferret,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000215625.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Mustelaputoriusfuro.zip"
GCF_000230445.1,10181,Heterocephalus glaber,naked mole-rat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000230445.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Heterocephalusglaber.zip"
GCF_000236235.1,43179,Ictidomys tridecemlineatus,thirteen-lined ground squirrel,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000236235.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ictidomystridecemlineatus.zip"
GCF_001305755.1,9793,Equus asinus,ass,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001305755.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Equusasinus.zip"
GCF_001922835.1,9739,Tursiops truncatus,common bottlenose dolphin,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001922835.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Tursiopstruncatus.zip"
GCF_000151865.2,9739,Tursiops truncatus,common bottlenose dolphin,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000151865.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Tursiopstruncatus.zip"
GCF_000500345.1,230844,Peromyscus maniculatus bairdii,prairie deer mouse,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000500345.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Peromyscusmaniculatusbairdii.zip"
GCA_004115295.1,59479,Rhinolophus ferrumequinum,greater horseshoe bat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_004115295.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Rhinolophusferrumequinum.zip"
GCF_000004335.2,9646,Ailuropoda melanoleuca,giant panda,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000004335.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ailuropodamelanoleuca.zip"
GCF_000464555.1,74533,Panthera tigris altaica,Amur tiger,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000464555.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pantheratigrisaltaica.zip"
GCA_900166895.1,38626,Phascolarctos cinereus,koala,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_900166895.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Phascolarctoscinereus.zip"
GCF_000767585.1,9838,Camelus dromedarius,Arabian camel,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000767585.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Camelusdromedarius.zip"
GCA_006461545.1,68408,Moschus berezovskii,Chinese forest musk deer,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_006461545.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Moschusberezovskii.zip"
GCF_001685135.1,9974,Manis javanica,Malayan pangolin,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001685135.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Manisjavanica.zip"
GCF_000208655.3,9361,Dasypus novemcinctus,nine-banded armadillo,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000208655.3/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Dasypusnovemcinctus.zip"
GCF_003584765.2,116960,Ursus arctos horribilis,,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003584765.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ursusarctoshorribilis.zip"
GCF_001466805.2,9407,Rousettus aegyptiacus,Egyptian rousette,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001466805.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Rousettusaegyptiacus.zip"
GCF_000769185.1,61622,Rhinopithecus roxellana,golden snub-nosed monkey,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000769185.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Rhinopithecusroxellana.zip"
GCF_014825515.1,9417,Artibeus jamaicensis,Jamaican fruit-eating bat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_014825515.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Artibeusjamaicensis.zip"
GCA_004027795.1,310713,Ceratotherium simum cottoni,northern white rhinoceros,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_004027795.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ceratotheriumsimumcottoni.zip"
GCF_003709585.1,32536,Acinonyx jubatus,cheetah,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003709585.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Acinonyxjubatus.zip"
GCF_014570555.1,143292,Manis pentadactyla,Chinese pangolin,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_014570555.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Manispentadactyla.zip"
GCF_002940915.2,9430,Desmodus rotundus,common vampire bat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002940915.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Desmodusrotundus.zip"
GCF_001443585.1,32536,Acinonyx jubatus,cheetah,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001443585.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Acinonyxjubatus.zip"
GCF_000687225.1,29073,Ursus maritimus,polar bear,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000687225.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ursusmaritimus.zip"
GCA_900411695.1,9755,Physeter catodon,sperm whale,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_900411695.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Physetercatodon.zip"
GCF_000292845.1,9978,Ochotona princeps,American pika,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000292845.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ochotonaprinceps.zip"
GCF_000472045.1,9755,Physeter catodon,sperm whale,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000472045.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Physetercatodon.zip"
GCF_900631625.1,9704,Zalophus californianus,California sea lion,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_900631625.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Zalophuscalifornianus.zip"
GCF_000331955.2,9733,Orcinus orca,killer whale,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000331955.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Orcinusorca.zip"
GCF_000743615.1,885580,Fukomys damarensis,Damara mole-rat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000743615.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Fukomysdamarensis.zip"
GCF_000181275.2,42254,Sorex araneus,European shrew,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000181275.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Sorexaraneus.zip"
GCA_004123975.1,9696,Puma concolor,puma,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_004123975.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pumaconcolor.zip"
GCA_000751575.1,9858,Capreolus capreolus,Western roe deer,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_000751575.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Capreoluscapreolus.zip"
GCA_004026925.3,9813,Procavia capensis,Cape rock hyrax,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_004026925.3/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Procaviacapensis.zip"
GCF_000308155.1,29078,Eptesicus fuscus,big brown bat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000308155.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Eptesicusfuscus.zip"
GCF_000296755.1,9365,Erinaceus europaeus,western European hedgehog,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000296755.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Erinaceuseuropaeus.zip"
GCF_000280705.1,51337,Jaculus jaculus,lesser Egyptian jerboa,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000280705.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Jaculusjaculus.zip"
GCA_000465405.1,59476,Pteronotus parnellii,Parnell's mustached bat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_000465405.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pteronotusparnellii.zip"
GCF_000311805.1,419612,Camelus ferus,Wild Bactrian camel,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000311805.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Camelusferus.zip"
GCA_004026845.1,77598,Heterohyrax brucei,yellow-spotted hyrax,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_004026845.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Heterohyraxbrucei.zip"
GCF_000235385.1,39432,Saimiri boliviensis boliviensis,Bolivian squirrel monkey,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000235385.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Saimiriboliviensisboliviensis.zip"
GCF_001888835.1,89399,Rhinolophus sinicus,Chinese rufous horseshoe bat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001888835.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Rhinolophussinicus.zip"
GCA_016433095.1,37186,Hippotragus equinus,roan antelope,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_016433095.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Hippotragusequinus.zip"
GCA_002201775.1,9899,Ammotragus lervia,aoudad,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_002201775.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ammotraguslervia.zip"
GCF_001857705.1,9691,Panthera pardus,leopard,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001857705.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pantherapardus.zip"
GCF_000400835.1,59538,Pantholops hodgsonii,chiru,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000400835.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pantholopshodgsonii.zip"
GCA_013391785.1,63631,Hydrodamalis gigas,Steller's sea cow,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_013391785.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Hydrodamalisgigas.zip"
GCA_011316645.1,45479,Cynomys gunnisoni,Gunnison's prairie dog,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_011316645.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Cynomysgunnisoni.zip"
GCA_004027415.1,58069,Hipposideros galeritus,Cantor's roundleaf bat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_004027415.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Hipposiderosgaleritus.zip"
GCA_905120135.1,227166,Megaloceros giganteus,Irish elk,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_905120135.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Megalocerosgiganteus.zip"
GCA_006411015.1,69298,Tragelaphus spekii,Sitatunga,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_006411015.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Tragelaphusspekii.zip"
GCA_905120125.1,227166,Megaloceros giganteus,Irish elk,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_905120125.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Megalocerosgiganteus.zip"
GCA_948473235.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_948473235.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_948474675.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_948474675.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_948473255.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_948473255.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_948473215.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_948473215.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_948474725.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_948474725.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_948473225.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_948473225.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_948474735.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_948474735.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_900086635.1,9600,Pongo pygmaeus,Bornean orangutan,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_900086635.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pongopygmaeus.zip"
GCA_001039535.1,112262,Ovis canadensis canadensis,,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_001039535.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Oviscanadensiscanadensis.zip"
GCA_900119615.2,9823,Sus scrofa,pig,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_900119615.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Susscrofa.zip"
GCA_001270425.1,9544,Macaca mulatta,Rhesus monkey,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_001270425.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Macacamulatta.zip"
GCA_013138085.1,9483,Callithrix jacchus,white-tufted-ear marmoset,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_013138085.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Callithrixjacchus.zip"
GCA_000090855.1,9598,Pan troglodytes,chimpanzee,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_000090855.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pantroglodytes.zip"
